areaType,areaName,areaCode,date,newCasesBySpecimenDate,cumCasesBySpecimenDate
overview,United Kingdom,K02000001,2021-03-09,5598,4239729
overview,United Kingdom,K02000001,2021-03-08,6653,4234131
overview,United Kingdom,K02000001,2021-03-07,4295,4227478
overview,United Kingdom,K02000001,2021-03-06,4493,4223183
overview,United Kingdom,K02000001,2021-03-05,5394,4218690
overview,United Kingdom,K02000001,2021-03-04,5785,4213296
overview,United Kingdom,K02000001,2021-03-03,6014,4207511
overview,United Kingdom,K02000001,2021-03-02,6673,4201497
overview,United Kingdom,K02000001,2021-03-01,6942,4194824
overview,United Kingdom,K02000001,2021-02-28,4746,4187882
overview,United Kingdom,K02000001,2021-02-27,4838,4183136
overview,United Kingdom,K02000001,2021-02-26,6607,4178298
overview,United Kingdom,K02000001,2021-02-25,7764,4171691
overview,United Kingdom,K02000001,2021-02-24,8557,4163927
overview,United Kingdom,K02000001,2021-02-23,9440,4155370
overview,United Kingdom,K02000001,2021-02-22,11332,4145930
overview,United Kingdom,K02000001,2021-02-21,7902,4134598
overview,United Kingdom,K02000001,2021-02-20,8077,4126696
overview,United Kingdom,K02000001,2021-02-19,10431,4118619
overview,United Kingdom,K02000001,2021-02-18,11429,4108188
overview,United Kingdom,K02000001,2021-02-17,11595,4096759
overview,United Kingdom,K02000001,2021-02-16,12510,4085164
overview,United Kingdom,K02000001,2021-02-15,14319,4072654
overview,United Kingdom,K02000001,2021-02-14,8785,4058335
overview,United Kingdom,K02000001,2021-02-13,8782,4049550
overview,United Kingdom,K02000001,2021-02-12,12191,4040768
overview,United Kingdom,K02000001,2021-02-11,12779,4028577
overview,United Kingdom,K02000001,2021-02-10,13539,4015798
overview,United Kingdom,K02000001,2021-02-09,13856,4002259
overview,United Kingdom,K02000001,2021-02-08,15796,3988403
overview,United Kingdom,K02000001,2021-02-07,11416,3972607
overview,United Kingdom,K02000001,2021-02-06,11978,3961191
overview,United Kingdom,K02000001,2021-02-05,15913,3949213
overview,United Kingdom,K02000001,2021-02-04,18033,3933300
overview,United Kingdom,K02000001,2021-02-03,19465,3915267
overview,United Kingdom,K02000001,2021-02-02,19826,3895802
overview,United Kingdom,K02000001,2021-02-01,22422,3875976
overview,United Kingdom,K02000001,2021-01-31,15438,3853554
overview,United Kingdom,K02000001,2021-01-30,16685,3838116
overview,United Kingdom,K02000001,2021-01-29,21825,3821431
overview,United Kingdom,K02000001,2021-01-28,24115,3799606
overview,United Kingdom,K02000001,2021-01-27,25746,3775491
overview,United Kingdom,K02000001,2021-01-26,27040,3749745
overview,United Kingdom,K02000001,2021-01-25,29989,3722705
overview,United Kingdom,K02000001,2021-01-24,17197,3692716
overview,United Kingdom,K02000001,2021-01-23,21861,3675519
overview,United Kingdom,K02000001,2021-01-22,29609,3653658
overview,United Kingdom,K02000001,2021-01-21,31715,3624049
overview,United Kingdom,K02000001,2021-01-20,35165,3592334
