date,areaType,areaCode,areaName,newCasesBySpecimenDate,newCasesByPublishDate
"2021-03-11",overview,K02000001,United Kingdom,,6753
"2021-03-10",overview,K02000001,United Kingdom,,5926
"2021-03-09",overview,K02000001,United Kingdom,5598,5766
"2021-03-08",overview,K02000001,United Kingdom,6653,4712
"2021-03-07",overview,K02000001,United Kingdom,4295,5177
"2021-03-06",overview,K02000001,United Kingdom,4493,6040
"2021-03-05",overview,K02000001,United Kingdom,5394,5947
"2021-03-04",overview,K02000001,United Kingdom,5785,6573
"2021-03-03",overview,K02000001,United Kingdom,6014,6385
"2021-03-02",overview,K02000001,United Kingdom,6673,6391
"2021-03-01",overview,K02000001,United Kingdom,6942,5455
"2021-02-28",overview,K02000001,United Kingdom,4746,6035
"2021-02-27",overview,K02000001,United Kingdom,4838,7434
"2021-02-26",overview,K02000001,United Kingdom,6607,8523
"2021-02-25",overview,K02000001,United Kingdom,7764,9985
"2021-02-24",overview,K02000001,United Kingdom,8557,9938
"2021-02-23",overview,K02000001,United Kingdom,9440,8489
"2021-02-22",overview,K02000001,United Kingdom,11332,10641
"2021-02-21",overview,K02000001,United Kingdom,7902,9834
"2021-02-20",overview,K02000001,United Kingdom,8077,10406
"2021-02-19",overview,K02000001,United Kingdom,10431,12027
"2021-02-18",overview,K02000001,United Kingdom,11429,12057
"2021-02-17",overview,K02000001,United Kingdom,11595,12718
"2021-02-16",overview,K02000001,United Kingdom,12510,10625
"2021-02-15",overview,K02000001,United Kingdom,14319,9765
"2021-02-14",overview,K02000001,United Kingdom,8785,10972
"2021-02-13",overview,K02000001,United Kingdom,8782,13308
"2021-02-12",overview,K02000001,United Kingdom,12191,15144
"2021-02-11",overview,K02000001,United Kingdom,12779,13494
"2021-02-10",overview,K02000001,United Kingdom,13539,13013
"2021-02-09",overview,K02000001,United Kingdom,13856,12364
"2021-02-08",overview,K02000001,United Kingdom,15796,14104
"2021-02-07",overview,K02000001,United Kingdom,11416,15845
"2021-02-06",overview,K02000001,United Kingdom,11978,18262
"2021-02-05",overview,K02000001,United Kingdom,15913,19114
"2021-02-04",overview,K02000001,United Kingdom,18033,20634
"2021-02-03",overview,K02000001,United Kingdom,19465,19202
"2021-02-02",overview,K02000001,United Kingdom,19826,16840
"2021-02-01",overview,K02000001,United Kingdom,22422,18607
"2021-01-31",overview,K02000001,United Kingdom,15438,21088
"2021-01-30",overview,K02000001,United Kingdom,16685,23275
"2021-01-29",overview,K02000001,United Kingdom,21825,29079
"2021-01-28",overview,K02000001,United Kingdom,24115,28680
"2021-01-27",overview,K02000001,United Kingdom,25746,25308
"2021-01-26",overview,K02000001,United Kingdom,27040,20089
"2021-01-25",overview,K02000001,United Kingdom,29989,22195
"2021-01-24",overview,K02000001,United Kingdom,17197,30004
"2021-01-23",overview,K02000001,United Kingdom,21861,33552
"2021-01-22",overview,K02000001,United Kingdom,29609,40261
"2021-01-21",overview,K02000001,United Kingdom,31715,37892
"2021-01-20",overview,K02000001,United Kingdom,35165,38905
"2021-01-19",overview,K02000001,United Kingdom,39544,33355
"2021-01-18",overview,K02000001,United Kingdom,44845,37535
"2021-01-17",overview,K02000001,United Kingdom,28879,38598
"2021-01-16",overview,K02000001,United Kingdom,30552,41346
"2021-01-15",overview,K02000001,United Kingdom,40451,55761
"2021-01-14",overview,K02000001,United Kingdom,42428,48682
"2021-01-13",overview,K02000001,United Kingdom,45446,47525
"2021-01-12",overview,K02000001,United Kingdom,49450,45533
"2021-01-11",overview,K02000001,United Kingdom,57207,46169
"2021-01-10",overview,K02000001,United Kingdom,36364,54940
"2021-01-09",overview,K02000001,United Kingdom,39110,59937
"2021-01-08",overview,K02000001,United Kingdom,47069,68053
"2021-01-07",overview,K02000001,United Kingdom,51982,52618
"2021-01-06",overview,K02000001,United Kingdom,57446,62322
"2021-01-05",overview,K02000001,United Kingdom,65169,60916
"2021-01-04",overview,K02000001,United Kingdom,76205,58784
"2021-01-03",overview,K02000001,United Kingdom,55201,54990
"2021-01-02",overview,K02000001,United Kingdom,60447,57725
"2021-01-01",overview,K02000001,United Kingdom,31856,53285
"2020-12-31",overview,K02000001,United Kingdom,52829,55892
