date,areaType,areaCode,areaName,newCasesBySpecimenDate,newCasesByPublishDate
"2021-02-24",overview,K02000001,United Kingdom,,9938
"2021-02-23",overview,K02000001,United Kingdom,,8489
"2021-02-22",overview,K02000001,United Kingdom,9426,10641
"2021-02-21",overview,K02000001,United Kingdom,7635,9834
"2021-02-20",overview,K02000001,United Kingdom,7935,10406
"2021-02-19",overview,K02000001,United Kingdom,10366,12027
"2021-02-18",overview,K02000001,United Kingdom,11410,12057
"2021-02-17",overview,K02000001,United Kingdom,11568,12718
"2021-02-16",overview,K02000001,United Kingdom,12521,10625
"2021-02-15",overview,K02000001,United Kingdom,14319,9765
"2021-02-14",overview,K02000001,United Kingdom,8801,10972
"2021-02-13",overview,K02000001,United Kingdom,8784,13308
"2021-02-12",overview,K02000001,United Kingdom,12197,15144
"2021-02-11",overview,K02000001,United Kingdom,12807,13494
"2021-02-10",overview,K02000001,United Kingdom,13537,13013
"2021-02-09",overview,K02000001,United Kingdom,13847,12364
"2021-02-08",overview,K02000001,United Kingdom,15786,14104
"2021-02-07",overview,K02000001,United Kingdom,11413,15845
"2021-02-06",overview,K02000001,United Kingdom,11971,18262
"2021-02-05",overview,K02000001,United Kingdom,15898,19114
"2021-02-04",overview,K02000001,United Kingdom,18030,20634
"2021-02-03",overview,K02000001,United Kingdom,19448,19202
"2021-02-02",overview,K02000001,United Kingdom,19776,16840
"2021-02-01",overview,K02000001,United Kingdom,22415,18607
"2021-01-31",overview,K02000001,United Kingdom,15433,21088
"2021-01-30",overview,K02000001,United Kingdom,16679,23275
"2021-01-29",overview,K02000001,United Kingdom,21815,29079
"2021-01-28",overview,K02000001,United Kingdom,24105,28680
"2021-01-27",overview,K02000001,United Kingdom,25733,25308
"2021-01-26",overview,K02000001,United Kingdom,27033,20089
"2021-01-25",overview,K02000001,United Kingdom,29988,22195
"2021-01-24",overview,K02000001,United Kingdom,17195,30004
"2021-01-23",overview,K02000001,United Kingdom,21859,33552
"2021-01-22",overview,K02000001,United Kingdom,29607,40261
"2021-01-21",overview,K02000001,United Kingdom,31711,37892
"2021-01-20",overview,K02000001,United Kingdom,35162,38905
"2021-01-19",overview,K02000001,United Kingdom,39540,33355
"2021-01-18",overview,K02000001,United Kingdom,44839,37535
"2021-01-17",overview,K02000001,United Kingdom,28872,38598
"2021-01-16",overview,K02000001,United Kingdom,30546,41346
"2021-01-15",overview,K02000001,United Kingdom,40438,55761
"2021-01-14",overview,K02000001,United Kingdom,42422,48682
"2021-01-13",overview,K02000001,United Kingdom,45438,47525
"2021-01-12",overview,K02000001,United Kingdom,49446,45533
"2021-01-11",overview,K02000001,United Kingdom,57201,46169
"2021-01-10",overview,K02000001,United Kingdom,36357,54940
"2021-01-09",overview,K02000001,United Kingdom,39091,59937
"2021-01-08",overview,K02000001,United Kingdom,47052,68053
"2021-01-07",overview,K02000001,United Kingdom,51962,52618
"2021-01-06",overview,K02000001,United Kingdom,57426,62322
"2021-01-05",overview,K02000001,United Kingdom,65157,60916
"2021-01-04",overview,K02000001,United Kingdom,76176,58784
"2021-01-03",overview,K02000001,United Kingdom,55193,54990
"2021-01-02",overview,K02000001,United Kingdom,60436,57725
"2020-12-31",overview,K02000001,United Kingdom,52809,55892
"2020-12-30",overview,K02000001,United Kingdom,70813,50023
"2020-12-29",overview,K02000001,United Kingdom,81541,53135
"2020-12-28",overview,K02000001,United Kingdom,45604,41385
"2020-12-27",overview,K02000001,United Kingdom,47749,30501
"2020-12-26",overview,K02000001,United Kingdom,40356,35691
"2020-12-25",overview,K02000001,United Kingdom,14178,32725
"2020-12-24",overview,K02000001,United Kingdom,31846,39877
"2020-12-23",overview,K02000001,United Kingdom,42287,39237
"2020-12-22",overview,K02000001,United Kingdom,45683,36804
"2020-12-21",overview,K02000001,United Kingdom,47401,33364
"2020-12-20",overview,K02000001,United Kingdom,32473,35928
"2020-12-19",overview,K02000001,United Kingdom,25156,27052
"2020-12-18",overview,K02000001,United Kingdom,35849,28507
"2020-12-17",overview,K02000001,United Kingdom,33885,35383
"2020-12-16",overview,K02000001,United Kingdom,34933,25161
"2020-12-15",overview,K02000001,United Kingdom,33873,18450
"2020-12-14",overview,K02000001,United Kingdom,34730,20263
"2020-12-13",overview,K02000001,United Kingdom,21993,18447
"2020-12-12",overview,K02000001,United Kingdom,19365,21502
"2020-12-11",overview,K02000001,United Kingdom,24082,21672
"2020-12-10",overview,K02000001,United Kingdom,22624,20964
"2020-12-09",overview,K02000001,United Kingdom,21647,16578
"2020-12-08",overview,K02000001,United Kingdom,20800,12282
